date,MSFT.Open,MSFT.High,MSFT.Low,MSFT.Close,MSFT.Volume,MSFT.Adjusted,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,ADP.Open,ADP.High,ADP.Low,ADP.Close,ADP.Volume,ADP.Adjusted,ADBE.Open,ADBE.High,ADBE.Low,ADBE.Close,ADBE.Volume,ADBE.Adjusted,AMD.Open,AMD.High,AMD.Low,AMD.Close,AMD.Volume,AMD.Adjusted,IBM.Open,IBM.High,IBM.Low,IBM.Close,IBM.Volume,IBM.Adjusted,ORCL.Open,ORCL.High,ORCL.Low,ORCL.Close,ORCL.Volume,ORCL.Adjusted
2020-12-31,221.699997,223,219.679993,222.419998,20942100,219.604477,134.080002,134.740005,131.720001,132.690002,99116600,131.515961,174.139999,176.449997,173.330002,176.199997,1142800,171.244431,497.98999,500.660004,494.890015,500.119995,1462100,500.119995,92.099998,92.300003,90.870003,91.709999,24930700,91.709999,118.757172,120.487572,118.537285,120.34417,3738822,111.858643,64.339996,64.769997,64.010002,64.690002,6928600,63.225212
2021-01-04,222.529999,223,214.809998,217.690002,37130100,214.934372,133.520004,133.610001,126.760002,129.410004,143301900,128.264984,175.970001,176.570007,167.729996,168.960007,2266700,164.208069,500.299988,500.790009,476.279999,485.339996,3612900,485.339996,92.110001,96.059998,90.919998,92.300003,51802600,92.300003,120.315491,120.382408,117.629066,118.489487,5417443,110.134727,64.690002,64.699997,63.169998,63.75,11249900,62.306488
2021-01-05,217.259995,218.520004,215.699997,217.899994,23823000,215.141693,128.889999,131.740005,128.429993,131.009995,97664900,129.850845,168.679993,170.179993,167.369995,168.490005,1491600,163.751282,485.880005,486.079987,479.200012,485.690002,2010100,485.690002,92.099998,93.209999,91.410004,92.769997,34208000,92.769997,119.512428,121.108986,119.13002,120.592735,6395872,112.089691,63.68,63.790001,62.48,62.959999,11005700,61.534378
2021-01-06,212.169998,216.490005,211.940002,212.25,35930700,209.563217,127.720001,131.050003,126.379997,126.599998,155088000,125.479843,166.130005,169.440002,166.029999,167.899994,1646100,163.177872,474.100006,475.869995,466,466.309998,4156600,466.309998,91.620003,92.279999,89.459999,90.330002,51911700,90.330002,121.319313,126.080307,121.147224,123.60421,8322708,114.888809,62.27,63.349998,61.91,62.57,8685400,61.387218
2021-01-07,214.039993,219.339996,213.710007,218.289993,27694500,215.526779,128.360001,131.630005,127.860001,130.919998,109578200,129.761627,168.059998,169.949997,167.440002,168.850006,1596700,164.101151,471,479.640015,468.25,477.73999,2901200,477.73999,91.330002,95.510002,91.199997,95.160004,42897200,95.160004,124.32122,124.722755,122.619499,123.317398,4714740,114.622231,62.849998,63.740002,62.849998,63.07,7382800,61.877766
2021-01-08,218.679993,220.580002,217.029999,219.619995,22956200,216.83992,132.429993,132.630005,130.229996,132.050003,105158200,130.881622,168.970001,172.380005,168.309998,171.050003,2638700,166.239273,480,485.540009,477.209991,485.100006,2266100,485.100006,95.980003,96.400002,93.269997,94.580002,39816400,94.580002,122.915871,123.632889,121.39579,122.877632,4891305,114.21347,63.18,63.540001,62.91,63.380001,7751700,62.181904
2021-01-11,218.470001,218.910004,216.729996,217.490005,23031300,214.736908,129.190002,130.169998,128.5,128.979996,100384500,127.838783,170.929993,171.580002,168.119995,168.509995,1235900,163.770721,481.98999,482.589996,471.299988,474.23999,2382400,474.23999,94.029999,99.230003,93.760002,97.25,48600200,97.25,122.323135,123.977058,122.045891,122.92543,5859587,114.257896,62.950001,63.57,62.84,63.029999,6284700,61.83852
2021-01-12,216.5,217.100006,213.320007,214.929993,23249300,212.20929,128.5,129.690002,126.860001,128.800003,91951100,127.6604,168.649994,169.539993,167.020004,169.059998,1641300,164.305252,474.410004,475,464,471.649994,2964900,471.649994,97.860001,98.970001,94.07,95.360001,67672300,95.360001,123.413002,124.13958,122.313576,123.527725,3921663,114.817726,63,63.02,62.18,62.419998,7758200,61.240055
2021-01-13,214.020004,216.759995,213.929993,216.339996,20087100,213.60144,128.759995,131.449997,128.490005,130.889999,88636800,129.731888,162,165.690002,161,164.660004,3146400,160.028992,472,477.850006,469.299988,472.049988,2105900,472.049988,93.010002,93.889999,90.839996,91.779999,60712900,91.779999,123.47036,124.043976,120.898659,121.338432,8030874,112.782806,62.32,62.59,61.970001,62.060001,8298000,60.886864
2021-01-14,215.910004,217.460007,212.740005,213.020004,29480800,210.323471,130.800003,131,128.759995,128.910004,90221800,127.769409,164.679993,165,161.5,161.910004,2591100,157.356339,472.410004,473.549988,462.200012,463.269989,3508300,463.269989,91.769997,92.360001,90.449997,90.790001,53408200,90.790001,122.39006,124.435944,121.940727,123.298279,7848347,114.604462,62.07,62.169998,61.509998,61.599998,10258600,60.435555
2021-01-15,213.520004,214.509995,212.029999,212.649994,31746500,209.958145,128.779999,130.220001,127,127.139999,111598500,126.015076,161.589996,161.710007,159.309998,161.119995,2885000,156.588547,462.5,467.880005,457.48999,458.079987,3200400,458.079987,90.75,91.589996,87.860001,88.209999,49340300,88.209999,122.638626,123.556404,122.05545,122.74379,5131153,114.089066,61.599998,62,61.209999,61.779999,7532600,60.612148
2021-01-19,213.75,216.979996,212.630005,216.440002,30480900,213.700195,127.779999,128.710007,126.940002,127.830002,90757300,126.698975,161.130005,162.220001,160.139999,161.979996,1703500,157.424377,461.170013,461.589996,453.339996,456.5,4419200,456.5,89.559998,89.580002,87.239998,89.449997,45115100,89.449997,123.594643,123.891014,122.456978,123.346077,5646308,114.648888,62.099998,62.290001,61.099998,61.290001,8903400,60.131413
2021-01-20,217.699997,225.789993,217.289993,224.339996,37777300,221.500183,128.660004,132.490005,128.550003,132.029999,104319500,130.861801,162.039993,162.830002,160.619995,162.350006,1441900,157.783981,462.730011,472.390015,458.769989,469.730011,3859000,469.730011,90.550003,90.779999,88.599998,88.75,35185800,88.75,123.996178,125.296364,122.906311,124.359467,5856240,115.59082,61.369999,62.029999,61.150002,61.560001,7025000,60.396309
2021-01-21,224.699997,226.300003,222.419998,224.970001,30709400,222.122208,133.800003,139.669998,133.589996,136.869995,120150900,135.658981,162.199997,162.350006,160.100006,161.029999,1867200,156.501083,470.26001,474.690002,466.100006,472.019989,2768700,472.019989,89.339996,92.07,88.43,91.529999,54221900,91.529999,124.397705,126.424477,124.330788,125.86042,13116003,116.985939,61.650002,61.849998,60.919998,61.209999,6943600,60.052925
2021-01-22,227.080002,230.070007,225.800003,225.949997,30172700,223.089798,136.279999,139.850006,135.020004,139.070007,114459400,137.839539,161.149994,162.440002,159.809998,161.979996,1895000,157.424377,472.5,476.350006,470.609985,472.440002,2534300,472.440002,94.419998,95.949997,91.879997,92.790001,71294700,92.790001,115.391968,115.391968,112.198853,113.393883,39814421,105.39843,60.939999,61.150002,59.740002,60.360001,9896700,59.218998
2021-01-25,229.119995,229.779999,224.220001,229.529999,33152100,226.624481,143.070007,145.089996,136.539993,142.919998,157611700,141.655441,161.360001,164.070007,160.830002,163.679993,1850400,159.076553,474.51001,477.700012,463.980011,473.440002,2697400,473.440002,94.139999,95.739998,91.400002,94.129997,55086900,94.129997,113.537285,114.282982,112.284897,113.365204,14315974,105.371765,60.380001,60.950001,59.77,60.900002,8524700,59.748787
2021-01-26,231.860001,234.179993,230.080002,232.330002,49169600,229.389038,143.600006,144.300003,141.369995,143.160004,98390600,141.893341,164.350006,165.830002,163.009995,164.529999,2864200,159.902649,473.730011,477.220001,467.76001,476.279999,2363100,476.279999,94.910004,95.720001,93.629997,94.709999,59449100,94.709999,113.938812,117.198853,113.212234,117.103249,11186656,108.846237,61.060001,62.040001,60.84,61.799999,8186500,60.631771
2021-01-27,238,240.440002,230.139999,232.899994,69870600,229.951828,143.429993,144.300003,140.410004,142.059998,140843800,140.80307,162.699997,172.869995,162.580002,165.669998,3536000,161.010574,470.98999,473.670013,455.070007,460,3586400,460,91.099998,91.879997,86.220001,88.839996,73341200,88.839996,116.711281,119.302101,116.271507,117.084129,12705239,108.828468,61.400002,63.18,61.369999,62.549999,14789000,61.367592
2021-01-28,235.610001,242.639999,235.089996,238.929993,49111200,235.905472,139.520004,141.990005,136.699997,137.089996,142621100,135.877029,169.850006,172.570007,166.610001,166.75,2189100,162.060211,459.070007,475.019989,459.070007,465.670013,3000700,465.670013,89.830002,89.879997,87.300003,87.519997,47048400,87.519997,117.39962,117.782028,114.789673,114.799232,8455969,106.704689,62.549999,63.240002,61.169998,61.220001,11166400,60.062737
2021-01-29,235.990005,238.020004,231.350006,231.960007,42503100,229.023712,135.830002,136.740005,130.210007,131.960007,177523800,130.792435,167.710007,169.449997,164.440002,165.119995,3212000,160.476059,462.170013,465,455.109985,458.769989,3061100,458.769989,87.559998,88.330002,85.019997,85.639999,56735800,85.639999,114.933075,115.965584,113.671127,113.871895,12369473,105.842728,61.16,61.5,60.209999,60.43,11451800,59.28767
2021-02-01,235.059998,242.5,232.429993,239.649994,33314200,236.616379,133.75,135.380005,130.929993,134.139999,106239800,132.95311,165.279999,168.470001,165.169998,166.350006,1720800,161.671478,462.279999,474.799988,459.820007,470,2554800,470,86.830002,87.949997,84.660004,87.660004,42359300,87.660004,114.627151,115.630974,113.508606,115.239006,6538023,107.113449,60.919998,62.009998,60.740002,61.509998,10553500,60.347256
2021-02-02,241.300003,242.309998,238.690002,239.509995,25916300,236.478149,135.729996,136.309998,134.610001,134.990005,83305400,133.795639,167.289993,169.119995,165.529999,168.380005,1863300,163.644363,473.649994,487.369995,472.549988,484.929993,3022000,484.929993,88.489998,89.279999,86.949997,88.860001,33850000,88.860001,114.110901,115.67878,114.034416,114.187378,6633627,106.135979,61.880001,62.919998,61.799999,62.369999,10528000,61.190998
2021-02-03,239.570007,245.089996,239.259995,243,27158100,239.923981,135.759995,135.770004,133.610001,133.940002,89880900,132.754913,167.070007,167.850006,166.25,166.830002,1811800,162.13797,487.089996,488.850006,479.170013,481.920013,2146900,481.920013,88.599998,89.480003,87.339996,87.889999,32312900,87.889999,113.80497,114.531548,112.92543,113.881454,7024308,105.851616,62.18,62.75,61.98,62.169998,9933500,60.99477
