date,MSFT.Open,MSFT.High,MSFT.Low,MSFT.Close,MSFT.Volume,MSFT.Adjusted,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,,
10/22/20,213.929993,216.059998,211.699997,214.889999,22351500,211.615799,117.449997,118.040001,114.589996,115.75,101988000,114.528267,,
10/23/20,215.029999,216.279999,213.160004,216.229996,18879600,212.935364,116.389999,116.550003,114.279999,115.040001,82572600,113.825745,,
10/26/20,213.850006,216.339996,208.100006,210.080002,37111600,206.879074,114.010002,116.550003,112.879997,115.050003,111850700,113.835648,,
10/27/20,211.589996,214.669998,210.330002,213.25,36700300,210.000793,115.489998,117.279999,114.540001,116.599998,92276800,115.369301,,
10/28/20,207.669998,208.839996,202.100006,202.679993,51195600,199.591812,115.050003,115.43,111.099998,111.199997,143937800,110.026291,,
10/29/20,204.070007,207.360001,203.369995,204.720001,31432600,201.600723,112.370003,116.93,112.199997,115.32,146129200,114.102814,,
10/30/20,203.5,204.289993,199.619995,202.470001,36953700,199.385025,111.059998,111.989998,107.720001,108.860001,190272600,107.710991,,
11/2/20,204.289993,205.279999,200.119995,202.330002,30842200,199.247177,109.110001,110.68,107.32,108.769997,122866900,107.621925,,
11/3/20,203.889999,208.119995,203.119995,206.429993,27512000,203.284668,109.660004,111.489998,108.730003,110.440002,107624400,109.274315,,
11/4/20,214.020004,218.320007,212.419998,216.389999,42311800,213.092926,114.139999,115.589996,112.349998,114.949997,138235500,113.736702,,
11/5/20,222.039993,224.119995,221.149994,223.289993,36080100,219.887787,117.949997,119.620003,116.870003,119.029999,126387100,117.773643,,
11/6/20,222.259995,224.360001,218.029999,223.720001,25231900,220.311264,118.32,119.199997,116.129997,118.690002,114457900,117.639839,,
11/9/20,224.440002,228.119995,217.880005,218.389999,44395000,215.062469,120.5,121.989998,116.050003,116.32,154515300,115.290802,,
11/10/20,214.5,216.5,209.720001,211.009995,44045100,207.794907,115.550003,117.589996,114.129997,115.970001,138023400,114.943909,,
11/11/20,212.389999,218.039993,212.199997,216.550003,29440800,213.250473,117.190002,119.629997,116.440002,119.489998,112295000,118.432762,,
11/12/20,217.210007,219.110001,214.460007,215.440002,21593900,212.15741,119.620003,120.529999,118.57,119.209999,103162300,118.155235,,
11/13/20,216.360001,217.419998,214.160004,216.509995,18621100,213.21109,119.440002,119.669998,117.870003,119.260002,81581900,118.204803,,
11/16/20,214.869995,217.740005,214.520004,217.229996,24953300,213.92012,118.919998,120.989998,118.150002,120.300003,91183000,119.235596,,
11/17/20,216.100006,217.679993,214.080002,214.460007,24154100,211.192337,119.550003,120.669998,118.959999,119.389999,74271000,118.333649,,
11/18/20,213.649994,215.169998,210.929993,211.080002,28372800,208.40802,118.610001,119.82,118,118.029999,76322100,116.98568,,
11/19/20,211.380005,213.029999,209.929993,212.419998,24792700,209.731079,117.589996,119.059998,116.809998,118.639999,74113000,117.590286,,
11/20/20,212.199997,213.289993,210,210.389999,22843100,207.726761,118.639999,118.769997,117.290001,117.339996,73604300,116.301796,,
11/23/20,210.949997,212.289993,208.160004,210.110001,25683500,207.450317,117.18,117.620003,113.75,113.849998,127959300,112.842659,,
11/24/20,209.589996,214.25,208.860001,213.860001,33979700,211.152863,113.910004,115.849998,112.589996,115.169998,113874200,114.150986,,
11/25/20,215.110001,215.289993,212.460007,213.869995,21012900,211.16272,115.550003,116.75,115.169998,116.029999,76499200,115.003372,,
11/27/20,214.850006,216.270004,214.039993,215.229996,14512200,212.505508,116.57,117.489998,116.220001,116.589996,46691300,115.558426,,
11/30/20,214.100006,214.759995,210.839996,214.070007,33064800,211.360214,116.970001,120.970001,116.809998,119.050003,169410200,117.996658,,
12/1/20,214.509995,217.320007,213.350006,216.210007,30904500,213.473099,121.010002,123.470001,120.010002,122.720001,127728200,121.634193,,
12/2/20,214.880005,215.470001,212.800003,215.369995,23724500,212.643738,122.019997,123.370003,120.889999,123.080002,89004200,121.990997,,
12/3/20,214.610001,216.380005,213.649994,214.240005,25120900,211.52803,123.519997,123.779999,122.209999,122.940002,78967600,121.852242,,
12/4/20,214.220001,215.380005,213.179993,214.360001,24666000,211.6465,122.599998,122.860001,121.519997,122.25,78260400,121.168343,,
12/7/20,214.369995,215.539993,212.990005,214.289993,24620000,211.577408,122.309998,124.57,122.25,123.75,86712000,122.655075,,
12/8/20,213.970001,216.949997,212.889999,216.009995,23284100,213.275635,124.370003,124.980003,123.089996,124.379997,82225500,123.279495,,
12/9/20,215.160004,215.229996,211.210007,211.800003,32440600,209.118927,124.529999,125.949997,121,121.779999,115089200,120.702492,,
12/10/20,211.770004,213.080002,210.360001,210.520004,26733300,207.855133,120.5,123.870003,120.150002,123.239998,81312200,122.149582,,
12/11/20,210.050003,213.320007,209.110001,213.259995,30979400,210.560425,122.43,122.760002,120.550003,122.410004,86939800,121.326927,,
12/14/20,213.100006,216.210007,212.880005,214.199997,28798400,211.48851,122.599998,123.349998,121.540001,121.779999,79184500,120.702492,,
12/15/20,215.169998,215.419998,212.240005,214.130005,27000600,211.419434,124.339996,127.900002,124.129997,127.879997,157243700,126.748528,,
12/16/20,214.75,220.110001,214.720001,219.279999,35023300,216.504227,127.410004,128.369995,126.559998,127.809998,98208600,126.679146,,
12/17/20,219.869995,220.889999,217.919998,219.419998,32515800,216.642456,128.899994,129.580002,128.039993,128.699997,94359800,127.561272,,
12/18/20,218.589996,219.690002,216.020004,218.589996,63354900,215.822983,128.960007,129.100006,126.120003,126.660004,192541500,125.53933,,
12/21/20,217.550003,224,217.279999,222.589996,37181900,219.772324,125.019997,128.309998,123.449997,128.229996,121251600,127.095421,,
12/22/20,222.690002,225.630005,221.850006,223.940002,22612200,221.105255,131.610001,134.410004,129.649994,131.880005,168904800,130.713135,,
12/23/20,223.110001,223.559998,220.800003,221.020004,18699600,218.222214,132.160004,132.429993,130.779999,130.960007,88223700,129.801285,,
12/24/20,221.419998,223.610001,221.199997,222.75,10550600,219.930313,131.320007,133.460007,131.100006,131.970001,54930100,130.802338,,
12/28/20,224.449997,226.029999,223.020004,224.960007,17933500,222.11235,133.990005,137.339996,133.509995,136.690002,124486200,135.48056,,
12/29/20,226.309998,227.179993,223.580002,224.149994,17403200,221.312592,138.050003,138.789993,134.339996,134.869995,121047300,133.676666,,
12/30/20,225.229996,225.630005,221.470001,221.679993,20272300,218.873856,135.580002,135.990005,133.399994,133.720001,96452100,132.53685,,
12/31/20,221.699997,223,219.679993,222.419998,20942100,219.604492,134.080002,134.740005,131.720001,132.690002,99116600,131.515961,,
1/4/21,222.529999,223,214.809998,217.690002,37130100,214.934341,133.520004,133.610001,126.760002,129.410004,143301900,128.264984,,
1/5/21,217.259995,218.520004,215.699997,217.899994,23823000,215.141693,128.889999,131.740005,128.429993,131.009995,97664900,129.85083,,
1/6/21,212.169998,216.490005,211.940002,212.25,35930700,209.563217,127.720001,131.050003,126.379997,126.599998,155088000,125.479843,,
1/7/21,214.039993,219.339996,213.710007,218.289993,27694500,215.526764,128.360001,131.630005,127.860001,130.919998,109578200,129.761612,,
1/8/21,218.679993,220.580002,217.029999,219.619995,22956200,216.839935,132.429993,132.630005,130.229996,132.050003,105158200,130.881638,,
1/11/21,218.470001,218.910004,216.729996,217.490005,23031300,214.736893,129.190002,130.169998,128.5,128.979996,100384500,127.838799,,
1/12/21,216.5,217.100006,213.320007,214.929993,23249300,212.20929,128.5,129.690002,126.860001,128.800003,91951100,127.660393,,
1/13/21,214.020004,216.759995,213.929993,216.339996,20087100,213.60144,128.759995,131.449997,128.490005,130.889999,88636800,129.731888,,
1/14/21,215.910004,217.460007,212.740005,213.020004,29480800,210.323486,130.800003,131,128.759995,128.910004,90221800,127.769409,,
