family,species,abm_g
Vespertilionidae,bucharensis,-999
Vespertilionidae,californicus,4.39
Vespertilionidae,capaccinii,8.15
Vespertilionidae,chiloensis,-999
Vespertilionidae,chinensis,41.99
Vespertilionidae,ciliolabrum,4.89
Vespertilionidae,cobanensis,-999
Vespertilionidae,csorbai,-999
Vespertilionidae,dasycneme,15.16
Vespertilionidae,daubentonii,7.63
Vespertilionidae,davidii,-999
Vespertilionidae,dominicensis,-999
Vespertilionidae,elegans,4.21
Vespertilionidae,emarginatus,7.56
Vespertilionidae,evotis,6.91
Vespertilionidae,fimbriatus,-999
Vespertilionidae,findleyi,-999
Vespertilionidae,formosus,7.07
Vespertilionidae,fortidens,4.37
Vespertilionidae,frater,7.54
Vespertilionidae,gomantongensis,-999
Vespertilionidae,goudoti,5.56
Vespertilionidae,grisescens,10.84
Vespertilionidae,hajastanicus,-999
Vespertilionidae,hasseltii,8.7
Vespertilionidae,hermani,-999
Vespertilionidae,horsfieldii,6.05
Vespertilionidae,hosonoi,-999
Vespertilionidae,ikonnikovi,-999
Vespertilionidae,insularum,-999
Vespertilionidae,keaysi,5.45
Vespertilionidae,keenii,6.51
Vespertilionidae,laniger,-999
Vespertilionidae,leibii,5.22
Vespertilionidae,levis,5.49
Vespertilionidae,longipes,-999
Vespertilionidae,lucifugus,7.8
Vespertilionidae,macrodactylus,7.48
Vespertilionidae,macropus,-999
Vespertilionidae,macrotarsus,12.64
Vespertilionidae,martiniquensis,-999
Vespertilionidae,melanorhinus,-999
Vespertilionidae,moluccarum,-999
Vespertilionidae,montivagus,8.3
Vespertilionidae,morrisi,-999
Vespertilionidae,muricola,4.8
Vespertilionidae,myotis,25.59
Vespertilionidae,mystacinus,-999
Vespertilionidae,nattereri,7.25
Vespertilionidae,nesopolus,3.56
Vespertilionidae,nigricans,-999
Vespertilionidae,nipalensis,-999
Vespertilionidae,occultus,8.79
Vespertilionidae,oreias,-999
Vespertilionidae,oxygnathus,21.23
Vespertilionidae,oxyotus,5.65
Vespertilionidae,ozensis,-999
Vespertilionidae,peninsularis,-999
Vespertilionidae,pequinius,-999
Vespertilionidae,planiceps,-999
Vespertilionidae,pruinosus,-999
Vespertilionidae,punicus,-999
Vespertilionidae,ricketti,-999
Vespertilionidae,ridleyi,4.06
